,movie,years,imdb,metascore,votes,n_imdb
467,Justice League,2017,6.5,45,327835,65.0
468,The Shape of Water,2017,7.3,87,306456,73.0
469,John Wick: Chapter 2,2017,7.5,75,284038,75.0
470,Coco,2017,8.4,81,274721,84.0
471,Jumanji: Welcome to the Jungle,2017,7.0,58,241471,70.0
472,Beauty and the Beast,2017,7.2,65,237085,72.0
473,Kong: Skull Island,2017,6.6,62,235429,66.0
474,Kingsman: The Golden Circle,2017,6.8,44,229413,68.0
475,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,227652,66.0
476,Alien: Covenant,2017,6.4,65,226000,64.0
477,War for the Planet of the Apes,2017,7.5,82,200925,75.0
478,The Greatest Showman,2017,7.6,48,198816,76.0
479,Life,2017,6.6,54,182302,66.0
480,The Fate of the Furious,2017,6.7,56,179077,67.0
481,Murder on the Orient Express,2017,6.5,52,177954,65.0
482,Lady Bird,2017,7.4,94,176702,74.0
483,Ghost in the Shell,2017,6.4,52,176002,64.0
484,King Arthur: Legend of the Sword,2017,6.8,41,168403,68.0
485,Wind River,2017,7.7,73,168279,77.0
486,The Hitman's Bodyguard,2017,6.9,47,161075,69.0
487,Mother!,2017,6.6,75,155968,66.0
488,The Mummy,2017,5.5,34,153605,55.0
489,Call Me by Your Name,2017,7.9,93,152971,79.0
490,Atomic Blonde,2017,6.7,63,149704,67.0
491,Bright,2017,6.4,29,147393,64.0
492,"I, Tonya",2017,7.5,77,140687,75.0
493,Valerian and the City of a Thousand Planets,2017,6.5,51,139170,65.0
494,Baywatch,2017,5.6,37,136690,56.0
495,Darkest Hour,2017,7.4,75,135919,74.0
496,American Made,2017,7.2,65,130347,72.0
497,Transformers: The Last Knight,2017,5.2,27,118376,52.0
498,The Lego Batman Movie,2017,7.3,75,115998,73.0
499,The Disaster Artist,2017,7.4,76,111287,74.0
500,Logan,2017,8.1,77,556295,81.0
501,Wonder Woman,2017,7.5,76,485752,75.0
502,Guardians of the Galaxy Vol. 2,2017,7.7,67,479850,77.0
503,Thor: Ragnarok,2017,7.9,74,478701,79.0
504,Dunkirk,2017,7.9,94,464585,79.0
505,Star Wars: The Last Jedi,2017,7.2,85,461267,72.0
506,Spider-Man: Homecoming,2017,7.5,73,422746,75.0
507,Get Out,2017,7.7,84,397374,77.0
508,Blade Runner 2049,2017,8.0,81,374808,80.0
509,Baby Driver,2017,7.6,86,361242,76.0
510,It,2017,7.4,69,356704,74.0
511,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,341949,82.0
512,Justice League,2017,6.5,45,327835,65.0
513,The Shape of Water,2017,7.3,87,306456,73.0
514,John Wick: Chapter 2,2017,7.5,75,284038,75.0
515,Coco,2017,8.4,81,274721,84.0
516,Jumanji: Welcome to the Jungle,2017,7.0,58,241471,70.0
517,Beauty and the Beast,2017,7.2,65,237085,72.0
518,Kong: Skull Island,2017,6.6,62,235429,66.0
519,Kingsman: The Golden Circle,2017,6.8,44,229413,68.0
520,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,227652,66.0
521,Alien: Covenant,2017,6.4,65,226000,64.0
522,War for the Planet of the Apes,2017,7.5,82,200925,75.0
523,The Greatest Showman,2017,7.6,48,198816,76.0
524,Life,2017,6.6,54,182302,66.0
525,The Fate of the Furious,2017,6.7,56,179077,67.0
526,Murder on the Orient Express,2017,6.5,52,177954,65.0
527,Lady Bird,2017,7.4,94,176702,74.0
528,Ghost in the Shell,2017,6.4,52,176002,64.0
529,King Arthur: Legend of the Sword,2017,6.8,41,168403,68.0
530,Wind River,2017,7.7,73,168279,77.0
531,The Hitman's Bodyguard,2017,6.9,47,161075,69.0
532,Mother!,2017,6.6,75,155968,66.0
533,The Mummy,2017,5.5,34,153605,55.0
534,Call Me by Your Name,2017,7.9,93,152971,79.0
535,Atomic Blonde,2017,6.7,63,149704,67.0
536,Bright,2017,6.4,29,147393,64.0
537,"I, Tonya",2017,7.5,77,140687,75.0
538,Valerian and the City of a Thousand Planets,2017,6.5,51,139170,65.0
539,Baywatch,2017,5.6,37,136690,56.0
540,Darkest Hour,2017,7.4,75,135919,74.0
541,American Made,2017,7.2,65,130347,72.0
542,Transformers: The Last Knight,2017,5.2,27,118376,52.0
543,The Lego Batman Movie,2017,7.3,75,115998,73.0
544,The Disaster Artist,2017,7.4,76,111287,74.0
545,Logan,2017,8.1,77,556295,81.0
546,Wonder Woman,2017,7.5,76,485752,75.0
547,Guardians of the Galaxy Vol. 2,2017,7.7,67,479850,77.0
548,Thor: Ragnarok,2017,7.9,74,478701,79.0
549,Dunkirk,2017,7.9,94,464585,79.0
550,Star Wars: The Last Jedi,2017,7.2,85,461267,72.0
551,Spider-Man: Homecoming,2017,7.5,73,422746,75.0
552,Get Out,2017,7.7,84,397374,77.0
553,Blade Runner 2049,2017,8.0,81,374808,80.0
554,Baby Driver,2017,7.6,86,361242,76.0
555,It,2017,7.4,69,356704,74.0
556,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,341949,82.0
557,Justice League,2017,6.5,45,327835,65.0
558,The Shape of Water,2017,7.3,87,306456,73.0
559,John Wick: Chapter 2,2017,7.5,75,284038,75.0
560,Coco,2017,8.4,81,274721,84.0
561,Jumanji: Welcome to the Jungle,2017,7.0,58,241471,70.0
562,Beauty and the Beast,2017,7.2,65,237085,72.0
563,Kong: Skull Island,2017,6.6,62,235429,66.0
564,Kingsman: The Golden Circle,2017,6.8,44,229413,68.0
565,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,227652,66.0
566,Alien: Covenant,2017,6.4,65,226000,64.0
567,War for the Planet of the Apes,2017,7.5,82,200925,75.0
568,The Greatest Showman,2017,7.6,48,198816,76.0
569,Life,2017,6.6,54,182302,66.0
570,The Fate of the Furious,2017,6.7,56,179077,67.0
571,Murder on the Orient Express,2017,6.5,52,177954,65.0
572,Lady Bird,2017,7.4,94,176702,74.0
573,Ghost in the Shell,2017,6.4,52,176002,64.0
574,King Arthur: Legend of the Sword,2017,6.8,41,168403,68.0
575,Wind River,2017,7.7,73,168279,77.0
576,The Hitman's Bodyguard,2017,6.9,47,161075,69.0
577,Mother!,2017,6.6,75,155968,66.0
578,The Mummy,2017,5.5,34,153605,55.0
579,Call Me by Your Name,2017,7.9,93,152971,79.0
580,Atomic Blonde,2017,6.7,63,149704,67.0
581,Bright,2017,6.4,29,147393,64.0
582,"I, Tonya",2017,7.5,77,140687,75.0
583,Valerian and the City of a Thousand Planets,2017,6.5,51,139170,65.0
584,Baywatch,2017,5.6,37,136690,56.0
585,Darkest Hour,2017,7.4,75,135919,74.0
586,American Made,2017,7.2,65,130347,72.0
587,Transformers: The Last Knight,2017,5.2,27,118376,52.0
588,The Lego Batman Movie,2017,7.3,75,115998,73.0
589,The Disaster Artist,2017,7.4,76,111287,74.0
590,Logan,2017,8.1,77,556295,81.0
591,Wonder Woman,2017,7.5,76,485752,75.0
592,Guardians of the Galaxy Vol. 2,2017,7.7,67,479850,77.0
593,Thor: Ragnarok,2017,7.9,74,478701,79.0
594,Dunkirk,2017,7.9,94,464585,79.0
595,Star Wars: The Last Jedi,2017,7.2,85,461267,72.0
596,Spider-Man: Homecoming,2017,7.5,73,422746,75.0
597,Get Out,2017,7.7,84,397374,77.0
598,Blade Runner 2049,2017,8.0,81,374808,80.0
599,Baby Driver,2017,7.6,86,361242,76.0
600,It,2017,7.4,69,356704,74.0
601,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,341949,82.0
602,Justice League,2017,6.5,45,327835,65.0
603,The Shape of Water,2017,7.3,87,306456,73.0
604,John Wick: Chapter 2,2017,7.5,75,284038,75.0
605,Coco,2017,8.4,81,274721,84.0
606,Jumanji: Welcome to the Jungle,2017,7.0,58,241471,70.0
607,Beauty and the Beast,2017,7.2,65,237085,72.0
608,Kong: Skull Island,2017,6.6,62,235429,66.0
609,Kingsman: The Golden Circle,2017,6.8,44,229413,68.0
610,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,227652,66.0
611,Alien: Covenant,2017,6.4,65,226000,64.0
612,War for the Planet of the Apes,2017,7.5,82,200925,75.0
613,The Greatest Showman,2017,7.6,48,198816,76.0
614,Life,2017,6.6,54,182302,66.0
615,The Fate of the Furious,2017,6.7,56,179077,67.0
616,Murder on the Orient Express,2017,6.5,52,177954,65.0
617,Lady Bird,2017,7.4,94,176702,74.0
618,Ghost in the Shell,2017,6.4,52,176002,64.0
619,King Arthur: Legend of the Sword,2017,6.8,41,168403,68.0
620,Wind River,2017,7.7,73,168279,77.0
621,The Hitman's Bodyguard,2017,6.9,47,161075,69.0
622,Mother!,2017,6.6,75,155968,66.0
623,The Mummy,2017,5.5,34,153605,55.0
624,Call Me by Your Name,2017,7.9,93,152971,79.0
625,Atomic Blonde,2017,6.7,63,149704,67.0
626,Bright,2017,6.4,29,147393,64.0
627,"I, Tonya",2017,7.5,77,140687,75.0
628,Valerian and the City of a Thousand Planets,2017,6.5,51,139170,65.0
629,Baywatch,2017,5.6,37,136690,56.0
630,Darkest Hour,2017,7.4,75,135919,74.0
631,American Made,2017,7.2,65,130347,72.0
632,Transformers: The Last Knight,2017,5.2,27,118376,52.0
633,The Lego Batman Movie,2017,7.3,75,115998,73.0
634,The Disaster Artist,2017,7.4,76,111287,74.0
635,Logan,2017,8.1,77,556295,81.0
636,Wonder Woman,2017,7.5,76,485752,75.0
637,Guardians of the Galaxy Vol. 2,2017,7.7,67,479850,77.0
638,Thor: Ragnarok,2017,7.9,74,478701,79.0
639,Dunkirk,2017,7.9,94,464585,79.0
640,Star Wars: The Last Jedi,2017,7.2,85,461267,72.0
641,Spider-Man: Homecoming,2017,7.5,73,422746,75.0
642,Get Out,2017,7.7,84,397374,77.0
643,Blade Runner 2049,2017,8.0,81,374808,80.0
644,Baby Driver,2017,7.6,86,361242,76.0
645,It,2017,7.4,69,356704,74.0
646,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,341949,82.0
647,Justice League,2017,6.5,45,327835,65.0
648,The Shape of Water,2017,7.3,87,306456,73.0
649,John Wick: Chapter 2,2017,7.5,75,284038,75.0
650,Coco,2017,8.4,81,274721,84.0
651,Jumanji: Welcome to the Jungle,2017,7.0,58,241471,70.0
652,Beauty and the Beast,2017,7.2,65,237085,72.0
653,Kong: Skull Island,2017,6.6,62,235429,66.0
654,Kingsman: The Golden Circle,2017,6.8,44,229413,68.0
655,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,227652,66.0
656,Alien: Covenant,2017,6.4,65,226000,64.0
657,War for the Planet of the Apes,2017,7.5,82,200925,75.0
658,The Greatest Showman,2017,7.6,48,198816,76.0
659,Life,2017,6.6,54,182302,66.0
660,The Fate of the Furious,2017,6.7,56,179077,67.0
661,Murder on the Orient Express,2017,6.5,52,177954,65.0
662,Lady Bird,2017,7.4,94,176702,74.0
663,Ghost in the Shell,2017,6.4,52,176002,64.0
664,King Arthur: Legend of the Sword,2017,6.8,41,168403,68.0
665,Wind River,2017,7.7,73,168279,77.0
666,The Hitman's Bodyguard,2017,6.9,47,161075,69.0
667,Mother!,2017,6.6,75,155968,66.0
668,The Mummy,2017,5.5,34,153605,55.0
669,Call Me by Your Name,2017,7.9,93,152971,79.0
670,Atomic Blonde,2017,6.7,63,149704,67.0
671,Bright,2017,6.4,29,147393,64.0
672,"I, Tonya",2017,7.5,77,140687,75.0
673,Valerian and the City of a Thousand Planets,2017,6.5,51,139170,65.0
674,Baywatch,2017,5.6,37,136690,56.0
675,Darkest Hour,2017,7.4,75,135919,74.0
676,American Made,2017,7.2,65,130347,72.0
677,Transformers: The Last Knight,2017,5.2,27,118376,52.0
678,The Lego Batman Movie,2017,7.3,75,115998,73.0
679,The Disaster Artist,2017,7.4,76,111287,74.0
680,Avengers: Infinity War,2018,8.5,68,664066,85.0
681,Black Panther,2018,7.3,88,512523,73.0
682,Deadpool 2,2018,7.8,66,387904,78.0
683,Bohemian Rhapsody,2018,8.1,49,340237,81.0
684,A Quiet Place,2018,7.6,82,302512,76.0
685,Ready Player One,2018,7.5,64,299931,75.0
686,Venom,2018,6.7,35,272388,67.0
687,Aquaman,2018,7.1,55,257604,71.0
688,A Star Is Born,2018,7.8,88,245405,78.0
689,Ant-Man and the Wasp,2018,7.1,70,240960,71.0
690,Mission: Impossible - Fallout,2018,7.8,86,231615,78.0
691,Annihilation,2018,6.9,79,227197,69.0
692,Solo: A Star Wars Story,2018,7.0,62,224283,70.0
693,Jurassic World: Fallen Kingdom,2018,6.2,51,217570,62.0
694,Bird Box,2018,6.6,51,215684,66.0
695,Spider-Man: Into the Spider-Verse,2018,8.5,87,205114,85.0
696,Incredibles 2,2018,7.7,80,201638,77.0
697,Green Book,2018,8.3,69,199064,83.0
698,Tomb Raider,2018,6.3,48,162631,63.0
699,Game Night,2018,7.0,66,161979,70.0
700,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,161294,66.0
701,Hereditary,2018,7.3,87,149762,73.0
702,BlacKkKlansman,2018,7.5,83,146400,75.0
703,Ocean's Eight,2018,6.2,61,143395,62.0
704,Red Sparrow,2018,6.6,53,135912,66.0
705,First Man,2018,7.4,84,118571,74.0
706,Rampage,2018,6.1,45,115007,61.0
707,The Favourite,2018,7.6,90,113947,76.0
708,The Meg,2018,5.7,46,111775,57.0
709,Isle of Dogs,2018,7.9,82,107301,79.0
710,Roma,2018,7.8,96,105731,78.0
711,Upgrade,2018,7.6,67,103683,76.0
712,The Equalizer 2,2018,6.7,50,96748,67.0
713,Searching,2018,7.7,71,95393,77.0
714,Crazy Rich Asians,2018,7.0,74,94816,70.0
715,Sicario: Day of the Soldado,2018,7.1,61,94606,71.0
716,The Predator,2018,5.4,48,93654,54.0
717,Bumblebee,2018,6.9,66,91938,69.0
718,Maze Runner: The Death Cure,2018,6.2,50,90731,62.0
719,Pacific Rim: Uprising,2018,5.6,44,88818,56.0
720,The Nun,2018,5.4,46,88213,54.0
721,Halloween,2018,6.6,67,87008,66.0
722,The Ballad of Buster Scruggs,2018,7.3,79,86398,73.0
723,Ralph Breaks the Internet,2018,7.1,71,84059,71.0
724,Tag,2018,6.6,56,83714,66.0
725,Bad Times at the El Royale,2018,7.1,60,83414,71.0
726,The Cloverfield Paradox,2018,5.6,37,82837,56.0
727,Avengers: Infinity War,2018,8.5,68,664066,85.0
728,Black Panther,2018,7.3,88,512523,73.0
729,Deadpool 2,2018,7.8,66,387904,78.0
730,Bohemian Rhapsody,2018,8.1,49,340237,81.0
731,A Quiet Place,2018,7.6,82,302512,76.0
732,Ready Player One,2018,7.5,64,299931,75.0
733,Venom,2018,6.7,35,272388,67.0
734,Aquaman,2018,7.1,55,257604,71.0
735,A Star Is Born,2018,7.8,88,245405,78.0
736,Ant-Man and the Wasp,2018,7.1,70,240960,71.0
737,Mission: Impossible - Fallout,2018,7.8,86,231615,78.0
738,Annihilation,2018,6.9,79,227197,69.0
739,Solo: A Star Wars Story,2018,7.0,62,224283,70.0
740,Jurassic World: Fallen Kingdom,2018,6.2,51,217570,62.0
741,Bird Box,2018,6.6,51,215684,66.0
742,Spider-Man: Into the Spider-Verse,2018,8.5,87,205114,85.0
743,Incredibles 2,2018,7.7,80,201638,77.0
744,Green Book,2018,8.3,69,199064,83.0
745,Tomb Raider,2018,6.3,48,162631,63.0
746,Game Night,2018,7.0,66,161979,70.0
747,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,161294,66.0
748,Hereditary,2018,7.3,87,149762,73.0
749,BlacKkKlansman,2018,7.5,83,146400,75.0
750,Ocean's Eight,2018,6.2,61,143395,62.0
751,Red Sparrow,2018,6.6,53,135912,66.0
752,First Man,2018,7.4,84,118571,74.0
753,Rampage,2018,6.1,45,115007,61.0
754,The Favourite,2018,7.6,90,113947,76.0
755,The Meg,2018,5.7,46,111775,57.0
756,Isle of Dogs,2018,7.9,82,107301,79.0
757,Roma,2018,7.8,96,105731,78.0
758,Upgrade,2018,7.6,67,103683,76.0
759,The Equalizer 2,2018,6.7,50,96748,67.0
760,Searching,2018,7.7,71,95393,77.0
761,Crazy Rich Asians,2018,7.0,74,94816,70.0
762,Sicario: Day of the Soldado,2018,7.1,61,94606,71.0
763,The Predator,2018,5.4,48,93654,54.0
764,Bumblebee,2018,6.9,66,91938,69.0
765,Maze Runner: The Death Cure,2018,6.2,50,90731,62.0
766,Pacific Rim: Uprising,2018,5.6,44,88818,56.0
767,The Nun,2018,5.4,46,88213,54.0
768,Halloween,2018,6.6,67,87008,66.0
769,The Ballad of Buster Scruggs,2018,7.3,79,86398,73.0
770,Ralph Breaks the Internet,2018,7.1,71,84059,71.0
771,Tag,2018,6.6,56,83714,66.0
772,Bad Times at the El Royale,2018,7.1,60,83414,71.0
773,The Cloverfield Paradox,2018,5.6,37,82837,56.0
774,Avengers: Infinity War,2018,8.5,68,664066,85.0
775,Black Panther,2018,7.3,88,512523,73.0
776,Deadpool 2,2018,7.8,66,387904,78.0
777,Bohemian Rhapsody,2018,8.1,49,340237,81.0
778,A Quiet Place,2018,7.6,82,302512,76.0
779,Ready Player One,2018,7.5,64,299931,75.0
780,Venom,2018,6.7,35,272388,67.0
781,Aquaman,2018,7.1,55,257604,71.0
782,A Star Is Born,2018,7.8,88,245405,78.0
783,Ant-Man and the Wasp,2018,7.1,70,240960,71.0
784,Mission: Impossible - Fallout,2018,7.8,86,231615,78.0
785,Annihilation,2018,6.9,79,227197,69.0
786,Solo: A Star Wars Story,2018,7.0,62,224283,70.0
787,Jurassic World: Fallen Kingdom,2018,6.2,51,217570,62.0
788,Bird Box,2018,6.6,51,215684,66.0
789,Spider-Man: Into the Spider-Verse,2018,8.5,87,205114,85.0
790,Incredibles 2,2018,7.7,80,201638,77.0
791,Green Book,2018,8.3,69,199064,83.0
792,Tomb Raider,2018,6.3,48,162631,63.0
793,Game Night,2018,7.0,66,161979,70.0
794,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,161294,66.0
795,Hereditary,2018,7.3,87,149762,73.0
796,BlacKkKlansman,2018,7.5,83,146400,75.0
797,Ocean's Eight,2018,6.2,61,143395,62.0
798,Red Sparrow,2018,6.6,53,135912,66.0
799,First Man,2018,7.4,84,118571,74.0
800,Rampage,2018,6.1,45,115007,61.0
801,The Favourite,2018,7.6,90,113947,76.0
802,The Meg,2018,5.7,46,111775,57.0
803,Isle of Dogs,2018,7.9,82,107301,79.0
804,Roma,2018,7.8,96,105731,78.0
805,Upgrade,2018,7.6,67,103683,76.0
806,The Equalizer 2,2018,6.7,50,96748,67.0
807,Searching,2018,7.7,71,95393,77.0
808,Crazy Rich Asians,2018,7.0,74,94816,70.0
809,Sicario: Day of the Soldado,2018,7.1,61,94606,71.0
810,The Predator,2018,5.4,48,93654,54.0
811,Bumblebee,2018,6.9,66,91938,69.0
812,Maze Runner: The Death Cure,2018,6.2,50,90731,62.0
813,Pacific Rim: Uprising,2018,5.6,44,88818,56.0
814,The Nun,2018,5.4,46,88213,54.0
815,Halloween,2018,6.6,67,87008,66.0
816,The Ballad of Buster Scruggs,2018,7.3,79,86398,73.0
817,Ralph Breaks the Internet,2018,7.1,71,84059,71.0
818,Tag,2018,6.6,56,83714,66.0
819,Bad Times at the El Royale,2018,7.1,60,83414,71.0
820,The Cloverfield Paradox,2018,5.6,37,82837,56.0
821,Avengers: Infinity War,2018,8.5,68,664066,85.0
822,Black Panther,2018,7.3,88,512523,73.0
823,Deadpool 2,2018,7.8,66,387904,78.0
824,Bohemian Rhapsody,2018,8.1,49,340237,81.0
825,A Quiet Place,2018,7.6,82,302512,76.0
826,Ready Player One,2018,7.5,64,299931,75.0
827,Venom,2018,6.7,35,272388,67.0
828,Aquaman,2018,7.1,55,257604,71.0
829,A Star Is Born,2018,7.8,88,245405,78.0
830,Ant-Man and the Wasp,2018,7.1,70,240960,71.0
831,Mission: Impossible - Fallout,2018,7.8,86,231615,78.0
832,Annihilation,2018,6.9,79,227197,69.0
833,Solo: A Star Wars Story,2018,7.0,62,224283,70.0
834,Jurassic World: Fallen Kingdom,2018,6.2,51,217570,62.0
835,Bird Box,2018,6.6,51,215684,66.0
836,Spider-Man: Into the Spider-Verse,2018,8.5,87,205114,85.0
837,Incredibles 2,2018,7.7,80,201638,77.0
838,Green Book,2018,8.3,69,199064,83.0
839,Tomb Raider,2018,6.3,48,162631,63.0
840,Game Night,2018,7.0,66,161979,70.0
841,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,161294,66.0
842,Hereditary,2018,7.3,87,149762,73.0
843,BlacKkKlansman,2018,7.5,83,146400,75.0
844,Ocean's Eight,2018,6.2,61,143395,62.0
845,Red Sparrow,2018,6.6,53,135912,66.0
846,First Man,2018,7.4,84,118571,74.0
847,Rampage,2018,6.1,45,115007,61.0
848,The Favourite,2018,7.6,90,113947,76.0
849,The Meg,2018,5.7,46,111775,57.0
850,Isle of Dogs,2018,7.9,82,107301,79.0
851,Roma,2018,7.8,96,105731,78.0
852,Upgrade,2018,7.6,67,103683,76.0
853,The Equalizer 2,2018,6.7,50,96748,67.0
854,Searching,2018,7.7,71,95393,77.0
855,Crazy Rich Asians,2018,7.0,74,94816,70.0
856,Sicario: Day of the Soldado,2018,7.1,61,94606,71.0
857,The Predator,2018,5.4,48,93654,54.0
858,Bumblebee,2018,6.9,66,91938,69.0
859,Maze Runner: The Death Cure,2018,6.2,50,90731,62.0
860,Pacific Rim: Uprising,2018,5.6,44,88818,56.0
861,The Nun,2018,5.4,46,88213,54.0
862,Halloween,2018,6.6,67,87008,66.0
863,The Ballad of Buster Scruggs,2018,7.3,79,86398,73.0
864,Ralph Breaks the Internet,2018,7.1,71,84059,71.0
865,Tag,2018,6.6,56,83714,66.0
866,Bad Times at the El Royale,2018,7.1,60,83414,71.0
867,The Cloverfield Paradox,2018,5.6,37,82837,56.0
868,Avengers: Infinity War,2018,8.5,68,664066,85.0
869,Black Panther,2018,7.3,88,512523,73.0
870,Deadpool 2,2018,7.8,66,387904,78.0
871,Bohemian Rhapsody,2018,8.1,49,340237,81.0
872,A Quiet Place,2018,7.6,82,302512,76.0
873,Ready Player One,2018,7.5,64,299931,75.0
874,Venom,2018,6.7,35,272388,67.0
875,Aquaman,2018,7.1,55,257604,71.0
876,A Star Is Born,2018,7.8,88,245405,78.0
877,Ant-Man and the Wasp,2018,7.1,70,240960,71.0
878,Mission: Impossible - Fallout,2018,7.8,86,231615,78.0
879,Annihilation,2018,6.9,79,227197,69.0
880,Solo: A Star Wars Story,2018,7.0,62,224283,70.0
881,Jurassic World: Fallen Kingdom,2018,6.2,51,217570,62.0
882,Bird Box,2018,6.6,51,215684,66.0
883,Spider-Man: Into the Spider-Verse,2018,8.5,87,205114,85.0
884,Incredibles 2,2018,7.7,80,201638,77.0
885,Green Book,2018,8.3,69,199064,83.0
886,Tomb Raider,2018,6.3,48,162631,63.0
887,Game Night,2018,7.0,66,161979,70.0
888,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,161294,66.0
889,Hereditary,2018,7.3,87,149762,73.0
890,BlacKkKlansman,2018,7.5,83,146400,75.0
891,Ocean's Eight,2018,6.2,61,143395,62.0
892,Red Sparrow,2018,6.6,53,135912,66.0
893,First Man,2018,7.4,84,118571,74.0
894,Rampage,2018,6.1,45,115007,61.0
895,The Favourite,2018,7.6,90,113947,76.0
896,The Meg,2018,5.7,46,111775,57.0
897,Isle of Dogs,2018,7.9,82,107301,79.0
898,Roma,2018,7.8,96,105731,78.0
899,Upgrade,2018,7.6,67,103683,76.0
900,The Equalizer 2,2018,6.7,50,96748,67.0
901,Searching,2018,7.7,71,95393,77.0
902,Crazy Rich Asians,2018,7.0,74,94816,70.0
903,Sicario: Day of the Soldado,2018,7.1,61,94606,71.0
904,The Predator,2018,5.4,48,93654,54.0
905,Bumblebee,2018,6.9,66,91938,69.0
906,Maze Runner: The Death Cure,2018,6.2,50,90731,62.0
907,Pacific Rim: Uprising,2018,5.6,44,88818,56.0
908,The Nun,2018,5.4,46,88213,54.0
909,Halloween,2018,6.6,67,87008,66.0
910,The Ballad of Buster Scruggs,2018,7.3,79,86398,73.0
911,Ralph Breaks the Internet,2018,7.1,71,84059,71.0
912,Tag,2018,6.6,56,83714,66.0
913,Bad Times at the El Royale,2018,7.1,60,83414,71.0
914,The Cloverfield Paradox,2018,5.6,37,82837,56.0
